Column1;Column2;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
6;product-stock;1;5;0;0;0;0;0;0;0;0;0;0
5;shop-management;2;0;0;0;0;0;0;0;0;0;0;0
11;shopping-basket;3;6;15;16;23;27;30;35;36;41;50;65
12;webshop-scheduler;4;11;0;0;0;0;0;0;0;0;0;0
102;myproximus-usage;5;11;20;40;63;70;71;73;76;82;104;0
20;user-billing-structure;6;24;0;0;0;0;0;0;0;0;0;0
51;real-time-usage-prepaid;7;20;52;0;0;0;0;0;0;0;0;0
52;user;8;27;0;0;0;0;0;0;0;0;0;0
27;cdb-customer-provider;9;0;0;0;0;0;0;0;0;0;0;0
24;customer-billing-structure;10;27;0;0;0;0;0;0;0;0;0;0
31;ordering-loyalty;11;24;0;0;0;0;0;0;0;0;0;0
41;split-plan;12;27;16;0;0;0;0;0;0;0;0;0
16;installbase;13;0;0;0;0;0;0;0;0;0;0;0
22;webshop-businessrules-engine;14;16;0;0;0;0;0;0;0;0;0;0
90;customer-access-numbers;15;27;0;0;0;0;0;0;0;0;0;0
95;myproximus-myaccount;16;90;15;86;87;94;96;97;105;27;52;20
15;address;17;0;0;0;0;0;0;0;0;0;0;0
23;network-characteristics;18;15;0;0;0;0;0;0;0;0;0;0
29;prepaid-identification;19;15;28;0;0;0;0;0;0;0;0;0
28;ereload;20;0;0;0;0;0;0;0;0;0;0;0
43;myproximus-guided-contact;21;15;42;0;0;0;0;0;0;0;0;0
42;guided-contact;22;0;0;0;0;0;0;0;0;0;0;0
74;myproximus-brownfield;23;15;0;0;0;0;0;0;0;0;0;0
94;customer-addresses;24;15;27;0;0;0;0;0;0;0;0;0
86;user-avatar;25;87;0;0;0;0;0;0;0;0;0;0
87;customer-administrators;26;86;0;0;0;0;0;0;0;0;0;0
96;contact-person;27;0;0;0;0;0;0;0;0;0;0;0
97;user-application-trusts;28;0;0;0;0;0;0;0;0;0;0;0
105;easy-switch;29;77;0;0;0;0;0;0;0;0;0;0
77;user-products;30;50;20;0;0;0;0;0;0;0;0;0
50;products;31;0;0;0;0;0;0;0;0;0;0;0
59;products-detail-aggregator;32;50;57;61;0;0;0;0;0;0;0;0
57;products-aggregator;33;77;0;0;0;0;0;0;0;0;0;0
80;myproducts;34;57;59;0;0;0;0;0;0;0;0;0
61;ordering-macsmobile;35;0;0;0;0;0;0;0;0;0;0;0
63;billing-account-overview-aggregator;36;77;40;101;20;0;0;0;0;0;0;0
40;user-unbilled-balance-aggregator;37;0;0;0;0;0;0;0;0;0;0;0
106;myproximus-myoverview;38;63;13;69;76;101;108;20;0;0;0;0
13;loyalty-program;39;9;0;0;0;0;0;0;0;0;0;0
9;crypto;40;0;0;0;0;0;0;0;0;0;0;0
10;offers;41;9;0;0;0;0;0;0;0;0;0;0
14;awards;42;13;0;0;0;0;0;0;0;0;0;0
69;billing-accounts;43;20;0;0;0;0;0;0;0;0;0;0
79;myproximus-mybill;44;69;60;62;67;68;81;0;0;0;0;0
60;billing-methods;45;20;0;0;0;0;0;0;0;0;0;0
58;billing-aggregator;46;60;58;62;0;0;0;0;0;0;0;0
62;billing-transactions;47;67;20;0;0;0;0;0;0;0;0;0
68;bill-downloader;48;62;0;0;0;0;0;0;0;0;0;0
67;billing-payments;49;30;0;0;0;0;0;0;0;0;0;0
30;payment-gateway;50;0;0;0;0;0;0;0;0;0;0;0
81;billing-complaints;51;0;0;0;0;0;0;0;0;0;0;0
113;billing-refund;52;69;0;0;0;0;0;0;0;0;0;0
76;usage-product-mobile-postpaid;53;0;0;0;0;0;0;0;0;0;0;0
101;unbilled-balance;54;0;0;0;0;0;0;0;0;0;0;0
108;emailconfirmation;55;0;0;0;0;0;0;0;0;0;0;0
70;usage-product-internet;56;0;0;0;0;0;0;0;0;0;0;0
71;usage-product-fixed-telephony;57;0;0;0;0;0;0;0;0;0;0;0
73;usage-product-tv;58;0;0;0;0;0;0;0;0;0;0;0
82;product-options;59;83;0;0;0;0;0;0;0;0;0;0
83;price;60;0;0;0;0;0;0;0;0;0;0;0
104;tbd;61;0;0;0;0;0;0;0;0;0;0;0
35;customer-premises-equipment;62;0;0;0;0;0;0;0;0;0;0;0
36;customer-credit-worthiness;63;0;0;0;0;0;0;0;0;0;0;0
65;order-processor;64;0;0;0;0;0;0;0;0;0;0;0
